Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
gini,5,2,2,balanced,0.5316600114090131,0.33835845896147404,0.321656050955414,730,395,426,202
gini,5,2,4,,0.6394751853964632,0.375,0.009554140127388535,1115,10,622,6
gini,5,2,4,balanced,0.5339418140330862,0.34223706176961605,0.32643312101910826,731,394,423,205
gini,5,5,1,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
gini,5,5,1,balanced,0.5316600114090131,0.33835845896147404,0.321656050955414,730,395,426,202
gini,5,5,2,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
gini,5,5,2,balanced,0.5316600114090131,0.33835845896147404,0.321656050955414,730,395,426,202
gini,5,5,4,,0.6394751853964632,0.375,0.009554140127388535,1115,10,622,6
gini,5,5,4,balanced,0.5339418140330862,0.34223706176961605,0.32643312101910826,731,394,423,205
gini,5,10,1,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
gini,5,10,1,balanced,0.5316600114090131,0.33835845896147404,0.321656050955414,730,395,426,202
gini,5,10,2,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
gini,5,10,2,balanced,0.5310895607529948,0.3383333333333333,0.3232484076433121,728,397,425,203
gini,5,10,4,,0.6394751853964632,0.375,0.009554140127388535,1115,10,622,6
gini,5,10,4,balanced,0.5328009127210497,0.3416252072968491,0.32802547770700635,728,397,422,206
gini,10,2,1,,0.6212207644038791,0.3953488372093023,0.10828025477707007,1021,104,560,68
gini,10,2,1,balanced,0.5202509982886481,0.3702801461632156,0.4840764331210191,608,517,324,304
gini,10,2,2,,0.6240730176839704,0.40718562874251496,0.10828025477707007,1026,99,560,68
gini,10,2,2,balanced,0.517969195664575,0.3688029020556227,0.4856687898089172,603,522,323,305
gini,10,2,4,,0.6172276098117513,0.37988826815642457,0.10828025477707007,1014,111,560,68
gini,10,2,4,balanced,0.5196805476326298,0.37170263788968827,0.49363057324840764,601,524,318,310
gini,10,5,1,,0.6206503137478608,0.3905325443786982,0.10509554140127389,1022,103,562,66
gini,10,5,1,balanced,0.5208214489446663,0.3719806763285024,0.49044585987261147,605,520,320,308
gini,10,5,2,,0.6195094124358242,0.38596491228070173,0.10509554140127389,1020,105,562,66
gini,10,5,2,balanced,0.5196805476326298,0.3710843373493976,0.49044585987261147,603,522,320,308
gini,10,5,4,,0.6172276098117513,0.37988826815642457,0.10828025477707007,1014,111,560,68
gini,10,5,4,balanced,0.5196805476326298,0.37170263788968827,0.49363057324840764,601,524,318,310
gini,10,10,1,,0.6206503137478608,0.38922155688622756,0.1035031847133758,1023,102,563,65
gini,10,10,1,balanced,0.5185396463205932,0.36987951807228914,0.4888535031847134,602,523,321,307
gini,10,10,2,,0.618938961779806,0.38764044943820225,0.10987261146496816,1016,109,559,69
gini,10,10,2,balanced,0.517969195664575,0.37005988023952097,0.49203821656050956,599,526,319,309
gini,10,10,4,,0.6155162578436966,0.37362637362637363,0.10828025477707007,1011,114,560,68
gini,10,10,4,balanced,0.5208214489446663,0.37290167865707435,0.49522292993630573,602,523,317,311
gini,20,2,1,,0.5613234455219623,0.3711151736745887,0.3232484076433121,781,344,425,203
gini,20,2,1,balanced,0.5099828864803194,0.3474240422721268,0.41878980891719747,631,494,365,263
gini,20,2,2,,0.57843696520251,0.38832997987927564,0.3073248407643312,821,304,435,193
gini,20,2,2,balanced,0.5002852253280091,0.34538653366583544,0.4410828025477707,600,525,351,277
gini,20,2,4,,0.5670279520821448,0.3766478342749529,0.3184713375796178,794,331,428,200
gini,20,2,4,balanced,0.5077010838562465,0.3561811505507956,0.46337579617834396,599,526,337,291
gini,20,5,1,,0.5681688533941814,0.3833634719710669,0.3375796178343949,784,341,416,212
gini,20,5,1,balanced,0.5099828864803194,0.3474240422721268,0.41878980891719747,631,494,365,263
gini,20,5,2,,0.5664575014261266,0.3715953307392996,0.304140127388535,802,323,437,191
gini,20,5,2,balanced,0.5019965772960638,0.3470661672908864,0.4426751592356688,602,523,350,278
gini,20,5,4,,0.5670279520821448,0.3766478342749529,0.3184713375796178,794,331,428,200
gini,20,5,4,balanced,0.5077010838562465,0.3561811505507956,0.46337579617834396,599,526,337,291
gini,20,10,1,,0.5698802053622362,0.37549407114624506,0.30254777070063693,809,316,438,190
gini,20,10,1,balanced,0.5122646891043925,0.36073619631901843,0.4681528662420382,604,521,334,294
