N Estimators,Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
50,entropy,20,5,2,balanced,0.6177980604677695,0.3561643835616438,0.08280254777070063,1031,94,576,52
100,gini,,2,1,,0.6360524814603536,0.3076923076923077,0.012738853503184714,1107,18,620,8
100,gini,,2,1,balanced,0.6417569880205363,0.5,0.011146496815286623,1118,7,621,7
100,gini,,2,2,,0.638904734740445,0.3684210526315789,0.011146496815286623,1113,12,621,7
100,gini,,2,2,balanced,0.6314888762122076,0.36363636363636365,0.03821656050955414,1083,42,604,24
100,gini,,5,1,,0.6360524814603536,0.3958333333333333,0.030254777070063694,1096,29,609,19
100,gini,,5,1,balanced,0.6320593268682259,0.2702702702702703,0.01592356687898089,1098,27,618,10
100,gini,,5,2,,0.6383342840844267,0.3333333333333333,0.009554140127388535,1113,12,622,6
100,gini,,5,2,balanced,0.6332002281802624,0.38095238095238093,0.03821656050955414,1086,39,604,24
100,gini,10,2,1,,0.6411865373645179,0.0,0.0,1124,1,628,0
100,gini,10,2,1,balanced,0.5915573302909298,0.3865979381443299,0.23885350318471338,887,238,478,150
100,gini,10,2,2,,0.6423274386765545,1.0,0.0015923566878980893,1125,0,627,1
100,gini,10,2,2,balanced,0.5869937250427838,0.37817258883248733,0.2372611464968153,880,245,479,149
100,gini,10,5,1,,0.6411865373645179,0.0,0.0,1124,1,628,0
100,gini,10,5,1,balanced,0.5681688533941814,0.3341902313624679,0.2070063694267516,866,259,498,130
100,gini,10,5,2,,0.6423274386765545,1.0,0.0015923566878980893,1125,0,627,1
100,gini,10,5,2,balanced,0.583000570450656,0.3676092544987147,0.22770700636942676,879,246,485,143
100,gini,20,2,1,,0.6417569880205363,0.5,0.022292993630573247,1111,14,614,14
100,gini,20,2,1,balanced,0.6354820308043354,0.3103448275862069,0.014331210191082803,1105,20,619,9
100,gini,20,2,2,,0.6360524814603536,0.25,0.007961783439490446,1110,15,623,5
100,gini,20,2,2,balanced,0.6280661722760981,0.3064516129032258,0.030254777070063694,1082,43,609,19
100,gini,20,5,1,,0.638904734740445,0.41935483870967744,0.020700636942675158,1107,18,615,13
100,gini,20,5,1,balanced,0.6343411294922989,0.37735849056603776,0.03184713375796178,1092,33,608,20
100,gini,20,5,2,,0.6360524814603536,0.32142857142857145,0.014331210191082803,1106,19,619,9
100,gini,20,5,2,balanced,0.6303479749001711,0.38636363636363635,0.054140127388535034,1071,54,594,34
100,entropy,,2,1,,0.6394751853964632,0.43333333333333335,0.020700636942675158,1108,17,615,13
100,entropy,,2,1,balanced,0.6354820308043354,0.3103448275862069,0.014331210191082803,1105,20,619,9
100,entropy,,2,2,,0.6377638334284085,0.3333333333333333,0.011146496815286623,1111,14,621,7
100,entropy,,2,2,balanced,0.6274957216200798,0.2641509433962264,0.022292993630573247,1086,39,614,14
100,entropy,,5,1,,0.6343411294922989,0.24,0.009554140127388535,1106,19,622,6
