N Estimators,Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
100,gini,20,5,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,20,5,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,20,5,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,,2,1,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,,2,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,,2,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,,5,1,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,,5,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,10,2,1,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,10,2,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,10,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,10,2,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,10,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,10,5,1,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,10,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,10,5,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,20,2,1,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,20,2,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,20,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,entropy,20,2,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,20,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,20,5,1,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,entropy,20,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,entropy,20,5,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,,2,1,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,,2,1,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
200,gini,,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
200,gini,,2,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,,5,1,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
200,gini,,5,1,balanced,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,,5,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,10,2,1,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,10,2,1,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
200,gini,10,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
200,gini,10,2,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,10,5,1,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
200,gini,10,5,1,balanced,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,10,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,10,5,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,20,2,1,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,20,2,1,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
200,gini,20,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
200,gini,20,2,2,balanced,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
200,gini,20,5,1,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
200,gini,20,5,1,balanced,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
200,gini,20,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
